Analysis of Smallest Prime Factors of Failed Tests,Value
Total tests performed,7000000
Total successful prime generations,946543

Smallest Prime Factors Causing Failure,Count,Percentage of Failures
3,1499489,24.77%
5,1250005,20.65%
7,645729,10.67%
11,360335,5.95%
13,270471,4.47%
17,185762,3.07%
19,154824,2.56%
23,119738,1.98%
29,89763,1.48%
31,80636,1.33%
37,65138,1.08%
41,56969,0.94%
43,53011,0.88%
47,47078,0.78%
53,41045,0.68%
59,35924,0.59%
61,34063,0.56%
67,30523,0.50%
71,28377,0.47%
73,27224,0.45%
79,24695,0.41%
83,23266,0.38%
89,21338,0.35%
97,19270,0.32%
101,18329,0.30%
103,17803,0.29%
107,16901,0.28%
109,16638,0.27%
113,15735,0.26%
127,13698,0.23%
131,13160,0.22%
137,12505,0.21%
139,12184,0.20%
149,11195,0.18%
151,10938,0.18%
157,10491,0.17%
163,10074,0.17%
167,9623,0.16%
173,9287,0.15%
179,8858,0.15%
181,8815,0.15%
191,8206,0.14%
193,8060,0.13%
197,7823,0.13%
199,7747,0.13%
211,7179,0.12%
223,6781,0.11%
227,6709,0.11%
229,6559,0.11%
233,6397,0.11%
239,6198,0.10%
241,6175,0.10%
251,5890,0.10%
257,5648,0.09%
263,5670,0.09%
269,5460,0.09%
271,5407,0.09%
277,5304,0.09%
281,5183,0.09%
283,5190,0.09%
293,4926,0.08%
307,4778,0.08%
311,4777,0.08%
313,4629,0.08%
317,4629,0.08%
331,4387,0.07%
337,4406,0.07%
347,4229,0.07%
349,4304,0.07%
353,4231,0.07%
359,4113,0.07%
367,3989,0.07%
373,3952,0.07%
379,3987,0.07%
383,3817,0.06%
389,3830,0.06%
397,3743,0.06%
401,3739,0.06%
409,3614,0.06%
419,3584,0.06%
421,3450,0.06%
431,3466,0.06%
433,3518,0.06%
439,3402,0.06%
443,3394,0.06%
449,3306,0.05%
457,3246,0.05%
461,3229,0.05%
463,3313,0.05%
467,3254,0.05%
479,3138,0.05%
487,3122,0.05%
491,3094,0.05%
499,2981,0.05%
503,2985,0.05%
509,2933,0.05%
521,2960,0.05%
523,2896,0.05%
541,2824,0.05%
547,2835,0.05%
557,2777,0.05%
563,2725,0.05%
569,2652,0.04%
571,2695,0.04%
577,2602,0.04%
587,2551,0.04%
593,2588,0.04%
599,2539,0.04%
601,2521,0.04%
607,2507,0.04%
613,2519,0.04%
617,2489,0.04%
619,2475,0.04%
631,2449,0.04%
641,2384,0.04%
643,2372,0.04%
647,2335,0.04%
653,2337,0.04%
659,2333,0.04%
661,2358,0.04%
673,2292,0.04%
677,2272,0.04%
683,2263,0.04%
691,2200,0.04%
701,2208,0.04%
709,2232,0.04%
719,2153,0.04%
727,2164,0.04%
733,2143,0.04%
739,2080,0.03%
743,2061,0.03%
751,2042,0.03%
757,2006,0.03%
761,1995,0.03%
769,1992,0.03%
773,2024,0.03%
787,1923,0.03%
797,1978,0.03%
809,1925,0.03%
811,1874,0.03%
821,1884,0.03%
823,1936,0.03%
827,1882,0.03%
829,1952,0.03%
839,1848,0.03%
853,1786,0.03%
857,1848,0.03%
859,1807,0.03%
863,1797,0.03%
877,1797,0.03%
881,1720,0.03%
883,1795,0.03%
887,1759,0.03%
907,1746,0.03%
911,1670,0.03%
919,1691,0.03%
929,1685,0.03%
937,1653,0.03%
941,1655,0.03%
947,1660,0.03%
953,1619,0.03%
967,1580,0.03%
971,1614,0.03%
977,1565,0.03%
983,1581,0.03%
991,1611,0.03%
997,1578,0.03%
1009,1520,0.03%
1013,1554,0.03%
1019,1524,0.03%
1021,1528,0.03%
1031,1496,0.02%
1033,1518,0.03%
1039,1452,0.02%
1049,1501,0.02%
1051,1423,0.02%
1061,1430,0.02%
1063,1489,0.02%
1069,1448,0.02%
1087,1459,0.02%
1091,1439,0.02%
1093,1438,0.02%
1097,1398,0.02%
1103,1410,0.02%
1109,1369,0.02%
1117,1425,0.02%
1123,1394,0.02%
1129,1354,0.02%
1151,1360,0.02%
1153,1330,0.02%
1163,1347,0.02%
1171,1358,0.02%
1181,1301,0.02%
1187,1326,0.02%
1193,1335,0.02%
1201,1290,0.02%
1213,1317,0.02%
1217,1256,0.02%
1223,1288,0.02%
1229,1278,0.02%
1231,1262,0.02%
1237,1260,0.02%
1249,1208,0.02%
1259,1258,0.02%
1277,1189,0.02%
1279,1233,0.02%
1283,1173,0.02%
1289,1177,0.02%
1291,1191,0.02%
1297,1184,0.02%
1301,1147,0.02%
1303,1193,0.02%
1307,1152,0.02%
1319,1208,0.02%
1321,1152,0.02%
1327,1186,0.02%
1361,1179,0.02%
1367,1090,0.02%
1373,1150,0.02%
1381,1109,0.02%
1399,1118,0.02%
1409,1074,0.02%
1423,1066,0.02%
1427,1083,0.02%
1429,1063,0.02%
1433,1114,0.02%
1439,1038,0.02%
1447,1048,0.02%
1451,1051,0.02%
1453,1021,0.02%
1459,1090,0.02%
1471,1000,0.02%
1481,1019,0.02%
1483,1004,0.02%
1487,1018,0.02%
1489,1014,0.02%
1493,972,0.02%
1499,1038,0.02%
1511,1008,0.02%
1523,1005,0.02%
1531,986,0.02%
1543,990,0.02%
1549,973,0.02%
1553,977,0.02%
1559,986,0.02%
1567,964,0.02%
1571,972,0.02%
1579,937,0.02%
1583,945,0.02%
1597,941,0.02%
1601,920,0.02%
1607,960,0.02%
1609,931,0.02%
1613,931,0.02%
1619,942,0.02%
1621,902,0.01%
1627,941,0.02%
1637,900,0.01%
1657,901,0.01%
1663,915,0.02%
1667,900,0.01%
1669,897,0.01%
1693,898,0.01%
1697,861,0.01%
1699,880,0.01%
1709,889,0.01%
1721,886,0.01%
1723,881,0.01%
1733,877,0.01%
1741,828,0.01%
1747,837,0.01%
1753,865,0.01%
1759,861,0.01%
1777,857,0.01%
1783,829,0.01%
1787,834,0.01%
1789,851,0.01%
1801,815,0.01%
1811,801,0.01%
1823,805,0.01%
1831,818,0.01%
1847,777,0.01%
1861,764,0.01%
1867,813,0.01%
1871,775,0.01%
1873,763,0.01%
1877,771,0.01%
1879,778,0.01%
1889,774,0.01%
1901,769,0.01%
1907,733,0.01%
1913,753,0.01%
1931,771,0.01%
1933,769,0.01%
1949,747,0.01%
1951,753,0.01%
1973,725,0.01%
1979,726,0.01%
1987,731,0.01%
1993,746,0.01%
1997,729,0.01%
1999,745,0.01%
2003,727,0.01%
2011,720,0.01%
2017,753,0.01%
2027,701,0.01%
2029,725,0.01%
2039,727,0.01%
2053,695,0.01%
2063,703,0.01%
2069,716,0.01%
2081,708,0.01%
2083,717,0.01%
2087,687,0.01%
2089,672,0.01%
2099,661,0.01%
2111,669,0.01%
2113,708,0.01%
2129,640,0.01%
2131,639,0.01%
2137,642,0.01%
2141,677,0.01%
2143,646,0.01%
2153,637,0.01%
2161,629,0.01%
2179,658,0.01%
2203,644,0.01%
2207,644,0.01%
2213,618,0.01%
2221,617,0.01%
2237,642,0.01%
2239,607,0.01%
2243,619,0.01%
2251,632,0.01%
2267,604,0.01%
2269,592,0.01%
2273,593,0.01%
2281,595,0.01%
2287,607,0.01%
2293,598,0.01%
2297,583,0.01%
2309,582,0.01%
2311,608,0.01%
2333,603,0.01%
2339,611,0.01%
2341,597,0.01%
2347,608,0.01%
2351,577,0.01%
2357,602,0.01%
2371,570,0.01%
2377,572,0.01%
2381,622,0.01%
2383,584,0.01%
2389,581,0.01%
2393,572,0.01%
2399,565,0.01%
2411,576,0.01%
2417,556,0.01%
2423,564,0.01%
2437,571,0.01%
2441,584,0.01%
2447,556,0.01%
2459,549,0.01%
2467,546,0.01%
2473,544,0.01%
2477,552,0.01%
2503,559,0.01%
2521,526,0.01%
2531,527,0.01%
2539,513,0.01%
2543,514,0.01%
2549,536,0.01%
2551,474,0.01%
2557,525,0.01%
2579,525,0.01%
2591,517,0.01%
2593,498,0.01%
2609,502,0.01%
2617,500,0.01%
2621,504,0.01%
2633,506,0.01%
2647,517,0.01%
2657,472,0.01%
2659,475,0.01%
2663,505,0.01%
2671,475,0.01%
2677,478,0.01%
2683,477,0.01%
2687,474,0.01%
2689,448,0.01%
2693,471,0.01%
2699,478,0.01%
2707,469,0.01%
2711,452,0.01%
2713,456,0.01%
2719,485,0.01%
2729,455,0.01%
2731,460,0.01%
2741,476,0.01%
2749,438,0.01%
2753,438,0.01%
2767,436,0.01%
2777,426,0.01%
2789,447,0.01%
2791,469,0.01%
2797,453,0.01%
2801,442,0.01%
2803,451,0.01%
2819,435,0.01%
2833,427,0.01%
2837,413,0.01%
2843,432,0.01%
2851,451,0.01%
2857,431,0.01%
2861,439,0.01%
2879,427,0.01%
2887,434,0.01%
2897,396,0.01%
2903,447,0.01%
2909,417,0.01%
2917,419,0.01%
2927,425,0.01%
2939,401,0.01%
2953,404,0.01%
2957,404,0.01%
2963,405,0.01%
2969,378,0.01%
2971,415,0.01%
2999,384,0.01%
3001,399,0.01%
3011,418,0.01%
3019,377,0.01%
3023,390,0.01%
3037,399,0.01%
3041,395,0.01%
3049,384,0.01%
3061,384,0.01%
3067,349,0.01%
3079,365,0.01%
3083,393,0.01%
3089,380,0.01%
3109,370,0.01%
3119,386,0.01%
3121,373,0.01%
3137,360,0.01%
3163,348,0.01%
3167,355,0.01%
3169,328,0.01%
3181,363,0.01%
3187,336,0.01%
3191,347,0.01%
3203,371,0.01%
3209,326,0.01%
3217,354,0.01%
3221,337,0.01%
3229,319,0.01%
3251,328,0.01%
3253,353,0.01%
3257,306,0.01%
3259,371,0.01%
3271,319,0.01%
3299,333,0.01%
3301,316,0.01%
3307,346,0.01%
3313,292,0.00%
3319,328,0.01%
3323,350,0.01%
3329,293,0.00%
3331,304,0.01%
3343,295,0.00%
3347,292,0.00%
3359,269,0.00%
3361,331,0.01%
3371,319,0.01%
3373,327,0.01%
3389,308,0.01%
3391,315,0.01%
